Comparison,species_label,order_label,average,sd,ava,avb,diff,contrib_signed,cluster_higher
4_2,Euphausia pacifica,Euphausiacea,0.03502858999188607,0.0321641534684941,0.02008710998899585,0.00479648486732669,0.01529062512166916,0.03502858999188607,4
4_2,Candacia bipinnata,Calanoida,0.01918328893407092,0.0161364091933862,0.0029298419710476154,0.028352037713964297,-0.02542219574291668,-0.01918328893407092,2
4_2,Neocalanus gracilis,Calanoida,0.018128152628396885,0.02623537393292645,0,0.013094360011144144,-0.013094360011144144,-0.018128152628396885,2
4_2,Acrocalanus monachus,Calanoida,0.017963665724618067,0.015221388493461512,0.006822949996679349,0.00842780969520742,-0.0016048596985280715,-0.017963665724618067,2
4_2,Pleuromamma abdominalis edentata,Calanoida,0.015711379396227566,0.014160213335176693,0.004128380273430769,0.008405880939954242,-0.004277500666523473,-0.015711379396227566,2
4_2,Euchaeta marina,Calanoida,0.015388912742434093,0.012483284816094405,7.782849321808674e-4,0.005466212182542103,-0.004687927250361235,-0.015388912742434093,2
4_2,Rosacea cymbiformis,Siphonophorae,0.012955312735961408,0.013299482429701394,0.026725035707054683,0.0028474785439197084,0.023877557163134975,0.012955312735961408,4
4_3,Eucalanus californicus,Calanoida,0.1550063546133434,0.03978506344961914,0.0064804108332799076,2.3471172358036156e-4,0.006245699109699546,0.1550063546133434,4
4_3,Calanus pacificus,Calanoida,0.09033436774457934,0.02623464112525893,0.012869148661807299,3.1776599675569357e-4,0.012551382665051606,0.09033436774457934,4
4_3,Ctenocalanus vanus,Calanoida,0.060935632342924706,0.013828636716654985,6.917609971683349e-4,0.044736481300925904,-0.04404472030375757,-0.060935632342924706,3
4_3,Clausocalanus furcatus,Calanoida,0.03356924891945294,0.011621476389241697,1.6300719158259764e-4,0.05202472464853105,-0.05186171745694845,-0.03356924891945294,3
4_3,Euchaeta marina,Calanoida,0.029198926767688944,0.014014817168166136,7.782849321808674e-4,0.012232670379663036,-0.011454385447482169,-0.029198926767688944,3
4_3,Mecynocera clausi,Calanoida,0.029000096919730513,0.014358458533987397,0,0.021755850723372595,-0.021755850723372595,-0.029000096919730513,3
4_3,Euphausia pacifica,Euphausiacea,0.025094535056750168,0.02312032110988607,0.02008710998899585,3.881504500928218e-4,0.01969895953890303,0.025094535056750168,4
4_3,Unidentified Sagitta,Aphragmophora,0.019222337992764287,0.011689124355276543,0.008407664493827483,0.003052478028517109,0.005355186465310373,0.019222337992764287,4
4_3,Pleuromamma abdominalis edentata,Calanoida,0.01841043761529337,0.011245128234898424,0.004128380273430769,0.013309890412410857,-0.009181510138980088,-0.01841043761529337,3
4_3,Acrocalanus monachus,Calanoida,0.017340477534714672,0.010191342143347925,0.006822949996679349,0.010942171165680055,-0.004119221169000706,-0.017340477534714672,3
