Hash,C1.T7.H9_S1,C1.T7.H9_S2,C1.T7.H9_S3,C1.T8.H10_S1,C1.T8.H10_S2,C1.T8.H10_S3,C2.T8.H18_S1,C2.T8.H18_S2,C2.T8.H18_S3,C2.T9.H19_S1,C2.T9.H19_S2,C2.T9.H19_S3,C3.T6.H25_S1,C3.T6.H25_S2,C3.T6.H25_S3,C3.T7.H26_S1,C3.T7.H26_S2,C3.T7.H26_S3,CT1.T1.H28_S1,CT1.T1.H28_S2,CT1.T1.H28_S3,CT1.T2.H29_S1,CT1.T2.H29_S2,CT1.T2.H29_S3,CT1.T3.H30_S1,CT1.T3.H30_S2,CT1.T3.H30_S3,CT1.T4.H31_S1,CT1.T4.H31_S2,CT1.T4.H31_S3,CT1.T5.H32_S1,CT1.T5.H32_S2,CT1.T5.H32_S3,CT1.T6.H33_S1,CT1.T6.H33_S2,CT1.T6.H33_S3,CT1.T7.H34_S1,CT1.T7.H34_S2,CT1.T7.H34_S3,CT1.T8.H35_S1,CT1.T8.H35_S2,CT1.T8.H35_S3,CT2.T1.H36_S1,CT2.T1.H36_S2,CT2.T1.H36_S3,CT2.T4.H39_S1,CT2.T4.H39_S2,CT2.T4.H39_S3,CT2.T8.H43_S1,CT2.T8.H43_S2,CT2.T8.H43_S3
d4e870e2a797503ee3686d03e0d14bf9bcc43366,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9bb737e660980a8f19f9b449e9d910407eadb1b,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daa82d75f78ac8d5bb5259c9020511942c2ef050,392,0,0,92,0,0,292,0,0,,0,0,0,0,0,158,0,0,128,0,0,254,0,0,130,0,0,0,0,0,272,0,0,0,0,0,0,0,0,352,0,0,778,296,0,0,0,0,202,0,0
dbd95065a6787486d688fdf5fdc905e08c92b3c7,78,0,0,0,0,0,0,0,0,,0,0,0,0,0,34,0,0,199,0,0,0,0,0,0,0,0,10,0,0,393,0,0,0,0,0,0,0,0,15,0,0,212,0,0,0,0,0,0,0,0
e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc,286,0,126,8,58,60,24,166,0,,16,2304,0,22,0,14,42,4,0,6,70,0,52,2,0,12,0,4,80,12,60,256,0,0,370,0,256,1798,1346,378,528,102,70,758,842,912,220,6190,0,136,1016
e199318c40876066960330bd9ea208fb7639a760,4974,994,736,862,2412,0,2186,4634,0,,1202,158,0,88,0,96,28,0,2040,3912,198,312,266,0,712,102,0,334,490,0,2660,846,0,216,2300,0,5870,770,0,3134,6748,410,5696,10000,7380,96,568,218,2116,3702,0
e396f514beb6bb0e29a828575cc7fea775d24085,246,0,0,70,48,0,68,242,0,,14,0,0,410,0,178,178,0,1090,476,12,602,1168,0,3560,340,0,726,128,0,4824,336,0,478,1472,0,0,44,0,82,54,0,94,294,430,0,60,0,86,38,0
e6e62aec4e6530ec9d88231193468a1b57ca384e,127,0,0,0,0,0,206,357,0,,0,0,222,0,0,736,0,0,153,0,0,396,0,0,194,0,0,257,0,0,113,0,0,2963,0,0,99,0,0,0,0,0,0,0,0,0,0,0,208,0,0
e9df96b4b8095a1d6d53b05d63742ff85af54576,107,0,0,0,47,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,278,268,63,0,0,0,0,0
ea45445f45d4100b739d1e9c52b53752088a1e67,17,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ece56b1db36cafe8ce16da6836d580dc30c143ce,63,0,813,0,0,0,0,0,1419,,0,0,0,221,0,172,2411,0,0,0,89,45,475,0,0,0,0,0,119,0,0,162,816,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
f07422dab8587806440ce31551c5c29726d1d1c7,37,0,0,0,0,0,0,241,0,,0,0,0,0,0,213,0,0,0,0,0,79,0,0,110,0,0,0,0,0,720,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
f0f0d90e0b068596c08719d08b82987032ec3857,90,0,77,0,0,0,0,403,9,,67,0,0,0,0,149,0,0,0,169,16,82,0,0,65,0,0,0,0,0,575,0,0,0,0,0,96,0,0,77,0,0,0,0,75,0,0,0,111,0,0
f10fe77e3403856fcab6288232f5f46a50261607,542,0,0,382,0,0,506,0,0,,0,0,0,0,0,0,0,0,510,0,0,346,0,0,74,0,0,0,0,0,408,0,0,0,0,0,0,0,0,564,0,0,646,346,0,0,0,0,162,0,0
f4ede5120fb30037915f838523b55e3e8b9c0e5d,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8a30baa160074c5d81f39bbfa5ce59111caa57a,209,0,0,173,0,0,364,573,0,,0,0,1014,299,0,2879,66,0,1910,39,0,2912,27,2,1943,63,0,1205,114,0,4500,51,0,799,119,0,272,0,0,763,0,0,146,79,0,0,0,0,487,0,0
fa7356df1a872486053eb1a14ff614012cdadde9,70,60,964,0,60,1748,0,330,848,,0,0,6408,1504,1578,3460,440,0,364,256,4664,2134,13918,2422,18232,118,0,1116,262,0,314,70,4844,514,2290,0,0,0,0,158,0,332,44,76,182,982,0,0,44,0,34
fd55aa1af3079f61067195a22c352ade92438b3d,58,0,0,0,0,0,65,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feb7c743a91055e70bfa4286091f360a580f26c7,120,0,0,0,0,0,76,693,0,,0,0,882,477,0,1889,47,0,476,481,84,3865,73,16,539,0,0,663,0,0,420,0,8,4288,0,0,79,0,0,283,0,21,0,0,0,11,0,0,987,0,0
ff62c6fc3f5f5a03af66155247b74210ad634523,598,0,366,26,62,56,82,498,1272,,18,3356,0,222,0,176,540,8,20,26,82,0,626,0,0,70,0,70,172,0,268,1834,288,0,606,0,410,70,172,250,190,178,76,1276,1386,1044,52,1702,14,42,232
