"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9","C1.T8.H10","C2.T8.H18","C2.T9.H19","C3.T6.H25","C3.T7.H26","CT1.T1.H28","CT1.T2.H29","CT1.T3.H30","CT1.T4.H31","CT1.T5.H32","CT1.T6.H33","CT1.T7.H34","CT1.T8.H35","CT2.T1.H36","CT2.T4.H39","CT2.T8.H43"
"Metridia pacifica f0811d7c1afc61b0190a200923bc854777e6fbc5",0,45,49,0,0,0,0,0,0,0,0,0,0,2440,1348,548,0,2362,758,578,640,0,0,0,0,0
"Metridia pacifica f0f0d90e0b068596c08719d08b82987032ec3857",248,256,260,216,229,252,258,226,188,167,0,412,67,0,149,185,82,65,0,575,0,96,77,75,0,111
"Metridia pacifica f10fe77e3403856fcab6288232f5f46a50261607",71,0,55,0,0,0,28,40,49,542,382,506,0,0,0,510,346,74,0,408,0,0,564,992,0,162
"Neocalanus 01cfa38140aa27513302c83969784a3f310533bf",0,0,0,0,0,0,13,0,0,0,24,0,0,56,0,162,232,296,94,854,64,0,0,72,0,0
"Neocalanus 56db9b8934558866af0f1f1eaf48a1122b20eb51",25,16,18,8,5,14,0,0,12,0,0,0,0,78,0,160,278,504,252,814,194,4,14,74,0,0
"Neocalanus bf5fb30ed1cb71468ac5f842314f3b9841142760",19,20,0,24,0,0,17,20,0,0,0,0,0,117,317,0,0,282,0,0,175,0,0,0,120,0
"Neocalanus cristatus 207114b11583026b14531339aeff5641dd94caec",83,58,67,41,76,63,0,68,68,114,96,320,0,756,536,2222,2294,2594,644,5184,772,0,66,590,0,0
"Neocalanus cristatus 7761526519fda29c5c9ac6663b370054e80b7263",537,443,387,176,217,221,110,103,120,63,53,47,13,96,25,461,408,757,460,875,921,445,161,314,141,96
"Neocalanus cristatus e396f514beb6bb0e29a828575cc7fea775d24085",259,217,217,152,154,141,100,103,126,246,118,310,14,410,356,1578,1770,3900,854,5160,1950,44,136,818,60,124
"Neocalanus gracilis cf20a5c3684c767dd7a47573041ed57b174d91b4",37,22,0,29,0,0,24,14,0,0,0,0,0,25,42,0,0,58,0,0,127,0,0,0,167,0
"Neocalanus gracilis dabec5c8e3721be348236817cddd3c31eb1647ce",126,97,88,39,60,0,0,0,41,0,0,0,0,5118,9075,351,73,35849,914,283,1598,0,0,0,549,0
"Neocalanus gracilis f439140f389fcafab48955b2d982492c4de5820f",30,0,16,0,25,27,0,0,20,0,0,0,0,1989,1200,355,43,1139,335,226,472,0,0,11,22,19
"Oithona 3ee6b510572d6e1b7383d68344ead7b479c01cb5",60,0,0,51,0,0,0,0,0,233,52,211,0,0,81,54,45,22,0,190,0,0,73,101,0,0
"Oithona similis 388725f240f778bbad66a1a652b752a88fd3956a",371,296,221,82,136,104,14,34,62,494,47,203,0,95,218,218,153,179,135,272,193,0,304,1837,0,52
"Oithona similis 8f7921169991363296cbef39f3d968cafbdfc591",0,0,0,0,0,0,0,0,0,327,46,146,0,0,0,79,0,57,0,171,0,0,159,371,0,0
"Oncaea mediterranea 2a24470d9f6f016d43a270ded06f52d73df93b2b",51,0,0,0,0,0,0,0,0,30,0,0,0,24,0,96,108,0,37,36,0,0,70,67,0,17
"Paracalanus parvus 1ab3bca392087a2194bf40e8c0e37d000a0a7081",167,203,182,119,198,176,127,132,206,418,0,286,10,0,0,0,0,0,0,353,0,150,0,142,0,57
"Paracalanus parvus 5bed824b32b484e7e3b783c154b19bd28e749adb",144,137,190,130,142,81,103,0,89,152,0,0,0,0,0,0,0,0,0,105,0,31,0,0,0,0
"Paracalanus parvus 5d9ee140b17e218e06fffae434d6dad14ebb91db",194,192,170,127,130,162,100,98,170,2138,396,1758,0,305,1127,745,483,782,408,1830,738,350,473,2829,0,480
"Paracalanus parvus 6719cb4eb8e5354c1a45ffde7b33672581382a84",224,212,205,152,191,203,98,130,231,209,0,91,7,0,0,0,0,0,0,70,0,89,0,67,0,6
"Paracalanus parvus 961cd5ce154310c7fd54468560aca8d35041c8c7",1558,1275,963,365,442,416,111,141,216,6830,336,3302,35,1009,3591,1399,757,1599,2042,3097,5918,538,710,10433,71,667
"Paracalanus parvus 9c1f29a7bb544b3ebd2d985b47670334284c6050",380,340,295,172,219,236,79,91,101,595,0,230,0,0,0,0,0,0,0,166,0,53,0,115,0,0
"Pegea dd7072b661c5b53f5177a820ab2c1ca431c1df7b",199,160,155,71,102,98,0,28,86,0,0,0,0,0,0,0,0,0,0,0,0,0,3147,239,239,0
"Pleuromamma 0260bfbe825d95aca7b54a0909f97b59dc580e78",249,203,196,137,131,132,63,72,78,669,221,812,49,1944,1269,1114,2078,0,520,76,49,0,764,1613,0,1720
"Pleuromamma 1e823715b95b2e76d7b69608b26072704c7c2ef1",167,153,177,93,102,122,51,68,61,113,87,142,35,104,70,112,72,0,23,14,22,0,187,511,0,346
"Pleuromamma 2655c6ab73c0d798851414a6bc09fc1b4469d3a9",58,58,29,0,0,0,0,0,0,227,12241,287,0,3000,226,11592,119455,0,71,444,0,0,1870,23,2170,0
"Pleuromamma 3b4deef68ab606924924048c116ef0c7c34ec1f4",247,206,183,109,151,163,66,74,100,29,0,0,0,282,0,0,10,0,0,0,0,0,0,12,0,16
"Pleuromamma 5746f43063ff1ae03ed18e54fec36f56f3bba3ef",68,67,73,48,112,43,0,0,81,40,46,0,22,0,0,0,0,0,0,0,0,0,121,262,0,154
"Pleuromamma 929371ba7bc4e9291b5d49829c93c66c67d836c3",292,273,273,211,180,230,125,113,156,306,0,0,0,10664,0,0,326,0,0,0,0,0,0,62,0,752
"Pleuromamma 971d71ff274bf68463802e6c3ce1479a814b1f81",111,84,74,64,61,80,38,72,62,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,42,43
"Pleuromamma a32d276e30f76e771318e8c516046bc05f72db69",287,208,194,122,140,168,73,100,139,3810,448,3094,0,10328,8574,4528,24610,22142,2878,7432,5094,404,1240,1528,398,234
"Pleuromamma abdominalis 10d98a9e8191737474408e3922019918cf9ce20e",57,38,38,0,0,0,0,0,0,1164,1164,2220,0,410,1446,7314,7218,0,182,596,0,0,2468,146,1910,0
"Pleuromamma b308f1ff1c8a4490fc47c87f05295b7e5a4a6610",206,141,147,106,109,109,71,77,72,102,0,192,0,74,68,249,164,271,30,101,0,29,15,29,0,0
"Pleuromamma b87a6f0f02e462d8aba180cca20863b9c69bf65a",0,0,0,0,0,0,0,0,0,89,0,124,0,212,183,120,349,0,0,0,0,0,92,0,0,425
"Pleuromamma bf87a932b56f5ea063f60d58296ef8446602c4ad",0,0,0,0,0,0,0,0,0,174,0,380,0,514,615,506,1542,459,223,485,0,0,71,0,0,0
"Pleuromamma borealis 387d4852e3e92fa092e4d58207f93a07a1040fd7",398,330,221,82,65,75,11,27,30,4,0,0,0,5924,0,0,298,0,0,0,208,0,0,158,0,58
"Pleuromamma borealis 7ed69f089c6a810c9434950899ffa09ad91e3f6d",256,193,147,40,48,45,10,7,17,69,27,59,0,1590,568,228,712,0,305,9,47,0,148,327,0,392
"Pleuromamma cedcb1af2b62e6d6afea91c34a7db2530337e833",89,67,99,57,79,86,89,70,86,816,86,0,0,1334,0,56,162,0,0,0,0,0,0,1234,0,692
"Pleuromamma fa7356df1a872486053eb1a14ff614012cdadde9",218,207,156,61,38,49,11,7,15,1094,1808,1178,0,9490,3900,5284,18474,18350,1378,5228,2804,0,490,302,982,78
"Pseudocalanus elongatus 0171cc759ee283cc9c17ac4964b6e648bd6aef3b",20,10,3,9,6,3,0,9,5,7,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0
"Pseudocalanus elongatus 14185f4dd88bc581f98ab10ffd2cb11423e579a1",19,10,0,0,9,0,0,0,0,44,10,0,0,0,0,189,0,0,0,245,0,0,0,109,0,0
"Pseudocalanus elongatus dbd95065a6787486d688fdf5fdc905e08c92b3c7",43,26,25,13,14,11,0,5,9,78,0,0,0,0,34,199,0,0,10,393,0,0,15,212,0,0
"Rhincalanus 14b9ad84102f6b00cde2ca65946dd1e9ce5121c3",36,50,35,19,21,53,32,30,21,95,0,110,0,0,29,101,0,0,0,112,0,0,55,76,0,65
