"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S1.1","C1.T7.H9_S1.2","C1.T8.H10_S1.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T4.H31_S1.1","CT1.T4.H31_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","C1.T7.H9_S1.3","C1.T8.H10_S1.3","C2.T8.H18_S1.3","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T4.H31_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3","CT1.T7.H34_S1.3","CT1.T8.H35_S1.3","CT2.T1.H36_S1.3","CT2.T8.H43_S1.3"
"Clausocalanus furcatus.c40ce5c9da5927cd51e1e3df99e36cc3984796e8",253,226,161,0,133,0,50,0,0,0,183,0,0,91,247,2421,1155,2614,0,579,1372,2662,886,825,151,161,0,403,3587,15747,0,0,0,265,0,0,31,170,386,444,0,0,0,804,1909,0,1651,279,1620,423,11010,0,0,0,251
"Metridia.c621ead91f54c394ee29a0669ebe477d85be4b7d",0,0,262,98,167,160,0,172,166,0,1252,412,46,675,0,117,72,437,0,566,203,233,251,221,0,28,191,636,30,278,38,196,177,305,42,1478,0,0,160,315,861,268,1479,100,548,413,234,123,433,681,396,0,176,391,446
"Metridia.daa82d75f78ac8d5bb5259c9020511942c2ef050",0,0,49,0,40,48,0,0,51,0,135,46,0,57,0,0,24,55,0,64,63,64,42,23,0,0,0,84,0,0,0,0,62,114,26,363,0,0,37,64,61,0,89,0,0,0,0,0,0,52,0,0,0,0,0
"Neocalanus gracilis.dabec5c8e3721be348236817cddd3c31eb1647ce",126,97,88,39,60,0,0,0,41,0,0,0,0,0,386,2498,101,167,0,267,0,40,0,0,33,42,45,160,0,255,0,0,0,0,0,0,155,394,0,0,0,0,0,520,0,0,0,0,536,78,101,0,0,0,0
"Pseudocalanus elongatus.dbd95065a6787486d688fdf5fdc905e08c92b3c7",43,26,25,13,14,11,0,5,9,0,50,0,0,0,0,0,9,12,0,199,0,0,0,0,0,0,48,199,0,0,0,0,0,15,10,202,0,0,0,0,28,0,0,0,13,0,0,0,10,146,0,0,0,0,0
".e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc",218,155,155,104,168,144,85,96,128,4,101,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,16,60,0,15,6,29,43,413,0,0,38,0,6,0,7,0,0,0,1,15,0,52,174,0,0
"NA.e09b485dd4d1bd133e7845d395237f38d661eb69",14919,12507,9252,4325,4936,5908,2399,2741,5695,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,1778,1311,0,0,48,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41863,0,0,0,18,0,0
"Metridia pacifica.e199318c40876066960330bd9ea208fb7639a760",4324,3835,3851,2978,3691,3589,2774,3295,2768,30,1815,313,59,394,0,0,0,0,45,773,60,96,164,165,0,25,150,548,0,75,162,1299,417,672,88,2493,0,48,295,514,642,118,640,0,48,202,0,27,142,632,33,1474,478,267,249
"Neocalanus cristatus.e396f514beb6bb0e29a828575cc7fea775d24085",259,217,217,152,154,141,100,103,126,0,86,25,5,0,0,0,0,0,41,504,90,211,801,785,0,28,371,1173,27,125,0,0,0,23,2,45,0,0,18,25,37,10,29,0,89,0,0,194,335,868,87,0,18,0,0
"NA.e3ae586897aa7a7c500791a9116c709eafcbbce4",121,74,53,12,20,29,0,0,0,0,116,0,0,0,0,0,121,156,0,236,0,0,0,0,0,0,0,0,11,19,0,0,0,97,0,190,0,0,0,0,369,0,0,0,17,0,0,0,438,0,0,0,0,0,0
"Metridia pacifica.f10fe77e3403856fcab6288232f5f46a50261607",71,0,55,0,0,0,28,40,49,0,133,86,0,57,0,0,0,0,0,108,37,47,19,18,0,0,0,48,0,0,0,0,55,95,0,323,0,0,0,26,138,105,196,0,0,147,89,0,0,156,0,0,132,0,55
"Neocalanus gracilis.f439140f389fcafab48955b2d982492c4de5820f",30,0,16,0,25,27,0,0,20,0,0,0,0,0,45,553,0,59,0,156,0,19,0,0,0,25,37,79,0,31,0,0,0,0,0,0,0,22,0,19,0,0,0,437,39,44,21,0,159,110,0,0,0,0,0
"Clausocalanus furcatus.f8a30baa160074c5d81f39bbfa5ce59111caa57a",170,205,211,165,155,199,128,87,110,0,97,111,0,55,0,434,269,1060,99,1207,761,923,696,579,85,201,599,1462,0,302,20,173,214,291,0,146,0,0,133,209,112,62,309,580,1550,604,1228,668,919,2439,497,79,258,0,145
"Pleuromamma.fa7356df1a872486053eb1a14ff614012cdadde9",218,207,156,61,38,49,11,7,15,0,35,0,0,0,323,2405,650,710,0,182,275,624,4289,3952,0,49,22,100,0,257,0,0,7,56,0,22,126,365,0,22,0,0,0,476,370,0,168,875,509,35,0,0,16,0,0
"Clausocalanus furcatus.feb7c743a91055e70bfa4286091f360a580f26c7",0,0,0,0,0,0,0,60,52,0,120,0,0,76,0,515,156,705,0,476,1050,1280,262,277,0,0,0,168,260,1661,0,0,106,177,0,0,0,11,265,429,0,0,0,367,1028,0,1535,0,663,252,2367,79,0,0,293
".ff62c6fc3f5f5a03af66155247b74210ad634523",189,163,183,97,173,104,88,113,121,5,185,13,4,15,0,0,0,0,0,10,0,0,0,0,0,7,0,75,0,0,15,100,0,48,6,32,51,471,0,7,109,0,22,0,88,0,0,0,28,59,0,90,77,0,0
"Calanus helgolandicus.2010a621a13cf49374bf4c950a42175421a652b0",441,443,340,335,387,326,328,383,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,167,0,0,0,0,342,191,179,284,0,100
"Pleuromamma.b308f1ff1c8a4490fc47c87f05295b7e5a4a6610",206,141,147,106,109,109,71,77,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,57,68,0,32,271,30,85,0,29,15,0,0
"Metridia pacifica.c106e1cd25bef13848fb5696229c97e7ec724fc1",57,87,90,61,70,91,48,85,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,57,256,654,215,567,249,174,245,0,0,94,46,177
"Metridia pacifica.f0f0d90e0b068596c08719d08b82987032ec3857",248,256,260,216,229,252,258,226,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,149,0,82,65,0,575,0,96,77,0,111
"Other",10902,9063,6920,4255,5012,4852,2347,2765,3108,0,2145,159,17,121,723,9121,4692,10107,31,3764,2228,4032,2170,1980,162,153,312,1783,3773,20800,41,228,1288,3621,9,2613,1088,8355,822,2005,4251,52,2537,6223,11546,2744,4682,1900,15031,7325,22855,1707,3531,671,3002
