"","Hash","C1.T7.H9_S2","C1.T8.H10_S2","C2.T8.H18_S2","C2.T9.H19_S2","C3.T6.H25_S2","C3.T7.H26_S2","CT1.T1.H28_S2","CT1.T2.H29_S2","CT1.T3.H30_S2","CT1.T4.H31_S2","CT1.T5.H32_S2","CT1.T6.H33_S2","CT1.T7.H34_S2","CT1.T8.H35_S2","CT2.T1.H36_S2","CT2.T4.H39_S2","CT2.T8.H43_S2"
"74","11e73a6cb407f486e216772ee0c421774380ca59",0,0,0,0,63,0,0,92,0,0,0,0,0,0,0,0,0
"75","12125d98b61fa81f51559d22484b4ce4440cf2de",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"76","12bccd1ad2397c6f7a72a08ee2e7a1d72e96481b",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"77","1302c40a3cba803fa64cc5939b562a7a5700bbbc",0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","134558db002ef4fed720988d68f864ca1621cae8",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"79","1352ac954471f5a1e171b35c8d81d82625d5602b",0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
"80","135ced8d35c59193d09cb756b7d9c1c3336a9b74",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"81","1371a05ed7190a1e866393395f1f590c5cc01ef7",0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"82","13dfed8b69f5d4139ad79da7deb7b0d04fa3fd20",0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","13e98cde4f09933bd5607f2a67b7d6ccfc86c02e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","14185f4dd88bc581f98ab10ffd2cb11423e579a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","14445ada9491b695af3c8d8f760324d5c63437f5",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","1455e0bca8ae9df317b44f49414f6feb807c710f",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"87","14872253069b69a5296e08c0eb345409f906404f",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"88","14a3ba08865d4e4cfb87f46998c4f9392d6f8777",0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0
"89","14b9ad84102f6b00cde2ca65946dd1e9ce5121c3",29,0,110,0,0,0,101,0,0,0,66,0,0,0,0,0,0
"90","14c23d62f3cde5e060e5aa22522eeea5c941e860",0,0,87,0,14,0,0,83,0,0,200,0,0,0,0,0,0
"91","1511209aba9d1c3ed9a7b879f82aaeed2290bf5b",0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0
"92","153e5be0daa9c84657193e42724acbcd5712179c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
"93","154a8c08ffa3c2c8efca0eb1b351813f905a95f9",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"94","159df111444844bccdf2aa5b415e682db71fbb46",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
"95","15bd72db304d8c59b122582874544744b3094a2d",0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0
"96","15c59e06d3e52fafd532ff1779a20ec6d982bd2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","15d57795f665118fe84c589183f30e967af99423",0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
"98","15f1724a808f5473ed8c2f2786ca68147ca2d103",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","1630ae6893ee81523e5c5491ed263488226c200b",0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","1697ba47f1c2be293c647c5091398b901634ae3a",0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","16a520598ccb5602c0dcf6652dc1bb7eedad8063",0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
"102","16cca34d40322362f2bbf88b02ef5d850e664c82",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"103","16cf07b796c7b65eae7d984f1e1df10ab81eaa42",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"104","16fafc94960ff7254af063b9d034237af0c99bb0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","17034a970992fe22b883968090ed005b458b394a",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"106","1703ccbe1fffc218367bd25e96fc4dc95f6d5011",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","171532c41af19a6145042c50222f4990294d08f7",0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
"108","1784e869dc2724619a035c17ab1fff64ceb125f7",0,0,44,0,0,0,7,0,0,0,0,0,0,0,0,132,0
"109","1795327b3cc057c6d8b5feb0bed5fa0398c6a94f",0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
"110","17b3874601c5efc249e6ae6452bea565da80452d",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"111","17cd5094165cb201fb20ed78d17e5938c017bd94",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","17e50c361d0ee3dca50193093804268e84b42a6b",0,0,0,0,129,0,28,114,0,0,0,0,0,0,0,0,0
"113","180492eb2d99dfeb36f2c73da5e720e6c7e7783e",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"114","18854019cd5f45c09e1eae682c8e92f1303c1fab",0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
"115","1893923acab4675b218cf79879e1f49ccdbef020",25,0,18,0,0,0,0,0,0,0,0,0,124,0,0,0,0
"116","18b79c89d6958210e35fe3417bda570dfb6b6366",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"117","18bc8062d256c224000582443890cdb333deb155",74,0,0,6,19,14,0,133,0,0,43,0,0,0,0,0,0
"118","191852591b4d2d43f118faeb01e4a8b3fe27ec16",0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0
"119","197f8c3936c8445c1990bd4c6cf83afb7bf0d739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
