"","C1.T7.H9","C1.T8.H10","C2.T8.H18","C2.T9.H19","C3.T6.H25","C3.T7.H26","CT1.T1.H28","CT1.T2.H29","CT1.T3.H30","CT1.T4.H31","CT1.T5.H32","CT1.T6.H33","CT1.T7.H34","CT1.T8.H35","CT2.T1.H36","CT2.T4.H39","CT2.T8.H43"
"Oncaea mediterranea 2a24470d9f6f016d43a270ded06f52d73df93b2b",30,0,0,0,24,0,96,108,0,37,36,0,0,70,67,0,17
"Oithona similis 388725f240f778bbad66a1a652b752a88fd3956a",494,47,203,0,95,218,218,153,179,135,272,193,0,304,1837,0,52
"Oithona 3ee6b510572d6e1b7383d68344ead7b479c01cb5",233,52,211,0,0,81,54,45,22,0,190,0,0,73,101,0,0
"Ditrichocorycaeus anglicus 6fa145cf354791b6a2fb07ea5364b6f760d72b72",26,0,7,0,2,0,0,0,0,0,0,5,0,99,1,0,23
"Ditrichocorycaeus anglicus 722ae10a2ab287d7cf8d34f64705f9ff5099010d",19,0,0,0,0,0,0,0,0,0,0,76,0,84,17,0,24
"Oithona similis 8f7921169991363296cbef39f3d968cafbdfc591",327,46,146,0,0,0,79,0,57,0,171,0,0,159,371,0,0
"Dioithona oculata 46f27f2f56e61a28864cdb558572ac9e8bdbb3c8",0,0,0,0,38,216,78,26,41,0,57,16,0,49,89,0,0
"Dioithona oculata 8a0f626ac39dbf2bba4f983d8f13c759e59b0051",0,0,0,0,30,277,16,26,31,0,55,23,0,0,21,0,0
" 0ed20c8d7359bae11c8eaff2c1f408e72780eea6",602,1066,0,1490,0,0,0,0,0,0,0,0,0,984,130,0,818
" 1fd0cca87a452616bd107a2dba731bf07d51aeef",4282,3696,8046,10216,0,0,0,0,0,0,0,0,0,4482,0,2934,7492
" 2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",37916,55644,73752,100358,3954,0,10610,11340,0,3390,0,3466,5088,57636,8792,27276,64644
" 3907c0c3540893fea852cf1e2e15ee876e097dc1",2438,0,5802,986,2296,1998,2932,65622,26496,8096,3160,14254,8216,27336,4416,11544,2968
" 7058329838365cb375806f2cef16b428e1910d10",1302,1938,300,1768,0,0,0,0,0,0,0,0,210,1486,530,0,2318
" 5de8320dd52839006fa55b8e9e94758699aab65f",0,0,210,0,2106,1272,80,14410,0,1490,0,5948,0,0,0,0,0
" cf496cdc8ee1b73dd609292097b080a1e7c99174",0,0,0,0,134,0,102,0,0,0,0,272,0,2822,144,10318,0
"Other",2440,2222,3164,4181,7034,15172,4921,9969,5572,2430,6045,10235,4034,9425,1500,8877,1448
