"","X","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"70",70,"seq_26_Calanoida.Metridia pacifica.e1993",1,0.00124173195294476,0.00668660122079659,0.0141302739365289,0.0198390324360806,0.0266852391433653,0.0701989378458428,0,"1-2mm","predicted C1.T7.H9_S3"
"71",71,"seq_14_Calanoida.Calanus.5c28f",1,0.00226264306624679,0.00899775607423165,0.0157696162548328,0.0181328996038889,0.0244773126084937,0.0479703762866975,0,"1-2mm","predicted C1.T7.H9_S3"
"72",72,"seq_24_Calanoida..bb435",1,0.000382087458219367,0.00322191990081617,0.00818150431655003,0.0163253493094438,0.019539784360486,0.0812773847987845,0,"1-2mm","predicted C1.T7.H9_S3"
"73",73,"seq_23_Calanoida.Metridia pacifica.b0c15",1,0.00223024064764898,0.00752515163384021,0.012914646115704,0.0154289102959329,0.0202563101856776,0.0430922022265641,0,"1-2mm","predicted C1.T7.H9_S3"
"74",74,"seq_7_Calanoida.Calanus helgolandicus.341d3",1,0.000119003171573557,0.00150839841632474,0.0052622130688257,0.0143124745231619,0.0157729144468694,0.0839170820909171,0,"1-2mm","predicted C1.T7.H9_S3"
"75",75,"seq_6_Euphausiacea..2f9a3",1,5.42159106808877e-05,0.00105995664082383,0.00386747189864135,0.0138610445388112,0.0129233847973586,0.0928860476382439,0,"1-2mm","predicted C1.T7.H9_S3"
"76",76,"seq_27_Calanoida.Pleuromamma.fa735",1,0.000101592247944091,0.00118316474667847,0.00354348056718661,0.00944624916437862,0.0101781843378453,0.0552320915355967,0,"1-2mm","predicted C1.T7.H9_S3"
"77",77,"seq_2_Calanoida.Rhincalanus.1c13e",1,5.24468414310455e-06,0.000192357904669834,0.00105249608459542,0.00908630470958998,0.00518510948394736,0.0708777160841533,0,"1-2mm","predicted C1.T7.H9_S3"
"78",78,"seq_1_Calanoida.Rhincalanus.1784e",1,2.33338773344669e-05,0.000370265405609931,0.00139939420410437,0.00471340541330446,0.00452635194158732,0.0317706002985863,0,"1-2mm","predicted C1.T7.H9_S3"
"79",79,"seq_11_Calanoida.Calanus helgolandicus.50ae1",1,1.17689671395079e-05,0.000255568935247341,0.00109638994990209,0.00449186795061429,0.00408224446573238,0.0314695212860807,0,"1-2mm","predicted C1.T7.H9_S3"
"80",80,"seq_17_Calanoida.Calanus helgolandicus.6e6b2",1,5.80998399756246e-05,0.000635927290088335,0.00194705112008377,0.00422897989208089,0.00513851887821688,0.0220881068369942,0,"1-2mm","predicted C1.T7.H9_S3"
"81",81,"seq_28_Calanoida..ff62c",1,6.4711609521658e-05,0.000572365266452252,0.00155593442632436,0.00327920804787101,0.00389944159424458,0.0167411069281134,0,"1-2mm","predicted C1.T7.H9_S3"
"82",82,"seq_12_Calanoida..5153f",1,3.11159926676372e-05,0.000373440505756278,0.00118572708054512,0.00317539559786804,0.00339511671187949,0.0188058951618859,0,"1-2mm","predicted C1.T7.H9_S3"
"83",83,"seq_25_Calanoida..e01f9",1,2.3021576805693e-05,0.000337973296252081,0.0011955706318589,0.00316209905900251,0.00355847275694561,0.018517421034376,0,"1-2mm","predicted C1.T7.H9_S3"
"84",84,"seq_21_Calanoida.Calanus.9b9f6",1,2.57998409617137e-05,0.0003235597736913,0.00106520815473252,0.00256020988020545,0.00298621796438467,0.0143095387542149,0,"1-2mm","predicted C1.T7.H9_S3"
"85",85,"seq_9_Euphausiacea..3907c",1,5.72471314168155e-06,9.26954032524154e-05,0.000362302657507151,0.00252529641504142,0.00139385071939032,0.018764487872055,0,"1-2mm","predicted C1.T7.H9_S3"
"86",86,"seq_4_Calanoida.Eucalanus californicus.247f0",1,1.5348278772841e-05,0.000179769341516328,0.00053689428611809,0.00133020470543692,0.00151538720064663,0.00766194995408549,0,"1-2mm","predicted C1.T7.H9_S3"
"87",87,"seq_29_.NA.other",1,1.11037798000333e-05,0.000138552600997193,0.000440881950901999,0.00117830626251506,0.00123803246023994,0.00678748629109142,0,"1-2mm","predicted C1.T7.H9_S3"
"88",88,"seq_29_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"89",89,"seq_29_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"90",90,"seq_6_Euphausiacea..2f9a3",NA,NA,NA,NA,0.48599336527829,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"91",91,"seq_6_Euphausiacea..2f9a3",NA,NA,NA,NA,0.457641123771419,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"92",92,"seq_27_Calanoida.Pleuromamma.fa735",NA,NA,NA,NA,0.0165912846829608,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
