"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"5746f43063ff1ae03ed18e54fec36f56f3bba3ef","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",""
"58aec46ab4910cf08bbfda67e8aa7321828ce906","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"5bed824b32b484e7e3b783c154b19bd28e749adb","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus","Paracalanus parvus"
"5c28fb044703f8d7dc9a17c20a178f0e34feb322","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",""
"5c8ad94781a3e58614f1bada8d5faa13dd04610d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia","Metridia pacifica"
"5d9ee140b17e218e06fffae434d6dad14ebb91db","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus","Paracalanus parvus"
"5eb4964f39d7646d3f23200215f56a18b69ea8c6","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Ctenocalanus","Ctenocalanus vanus"
"6719cb4eb8e5354c1a45ffde7b33672581382a84","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus","Paracalanus parvus"
"6950a504c858e51241cac98cb4b1b8cad81eff0e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"6b976e008f3c98aa86cb64aa686cbfcb409c8f0a","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia","Metridia pacifica"
"6db8cc221939cdc8c55a0191ffe9bdeca0679b0e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus","Calanus helgolandicus"
"6e6b2ae850506cc0ea7baa4492214e7987501560","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus","Calanus helgolandicus"
"7761526519fda29c5c9ac6663b370054e80b7263","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Neocalanus","Neocalanus cristatus"
"78f54f41acba54d14189a57d673d19a7e9c4b936","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus","Calanus helgolandicus"
"7ed69f089c6a810c9434950899ffa09ad91e3f6d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma","Pleuromamma borealis"
"7f93c2356b7a75855bf23901a4a4946a09c74ed6","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Ctenocalanus","Ctenocalanus vanus"
"842a2506f3fd4a072c55a891ee9086fec57ce362","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",""
"8621efe7a8640bc1c6ee9a6853dc555b10b9601f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Calocalanus","Calocalanus styliremis"
"86a2a84f3e6a8500e7abc6d74a89cb6495f31937","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia",""
"894f73dc6883f29a838304fd218efdfaf12bd154","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus","Calanus helgolandicus"
"929371ba7bc4e9291b5d49829c93c66c67d836c3","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",""
"961cd5ce154310c7fd54468560aca8d35041c8c7","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus","Paracalanus parvus"
"97d5948bd4b4362b9bfcff8f47c1af49259ea0d2","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia","Metridia pacifica"
"97eba237b82c30ea20f6265eafa44e2dcba9c3da","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia","Metridia pacifica"
"9a2f45f6bd9781d52b355893e422fceef3e600a1","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"9b9f6e13b644886afad8864d6601b2000dae17a0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",""
"9c1f29a7bb544b3ebd2d985b47670334284c6050","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus","Paracalanus parvus"
"a19023e2938b2d4c19d5e2b8c4962e8bcd73177d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"a200a5e36062c3f55c14ae2fa7529f542abf7271","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"a32d276e30f76e771318e8c516046bc05f72db69","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",""
"af443937679001ea966beb10277f43108c2bc0db","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","","",""
"b0c15e6164ee940205efe0f1e1a0a0c19435ec9f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia","Metridia pacifica"
"b308f1ff1c8a4490fc47c87f05295b7e5a4a6610","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",""
"b39500169f19f6f7dc74cde23a266fe3bd9d8079","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Rhincalanidae","Rhincalanus",""
"b7e0a792f7202517d04a74a0a5b2c65867540302","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",""
