"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"79","Lambda","clr_Eucalanidae","cycle_num",-0.118447759352765,-0.0833183117904816,-0.0648768464790758,-0.0651157986873204,-0.0471887406715232,-0.0107056777289577,"B3_B5_S3_18S","B3","S3","18S",1,3
"80","Lambda","clr_Euphausiidae","cycle_num",-0.0362245275665015,0.00579025187668079,0.0254851411001869,0.0255385305990023,0.0449759242616571,0.0862083673835558,"B3_B5_S3_18S","B3","S3","18S",1,3
"81","Lambda","clr_Metridinidae","cycle_num",0.0591836996677603,0.100867368465085,0.121721884178557,0.12124301945981,0.142112975945354,0.181632502614371,"B3_B5_S3_18S","B3","S3","18S",1,3
"82","Lambda","clr_Oithonidae","cycle_num",-0.196849676743972,-0.154509993716762,-0.133612322112941,-0.134390879011808,-0.113166865634968,-0.0750685066078651,"B3_B5_S3_18S","B3","S3","18S",1,3
"83","Lambda","clr_Paracalanidae","cycle_num",-0.0906662309439334,-0.0588156078898589,-0.0432145065373891,-0.0437515158725766,-0.0282416276566411,-9.63508285262144e-05,"B3_B5_S3_18S","B3","S3","18S",1,3
"84","Lambda","clr_Rhincalanidae","cycle_num",-0.0999203106081315,-0.0509285854425552,-0.0281313528590401,-0.0287842917348671,-0.00549082508994014,0.0366598819513589,"B3_B5_S3_18S","B3","S3","18S",1,3
"85","Lambda","clr_other","cycle_num",-0.128812170734644,-0.0559116719873274,-0.0193595926868835,-0.0200306782720878,0.0162280153365658,0.0880820447941479,"B3_B5_S3_18S","B3","S3","18S",1,3
"86","Lambda","clr_Calanidae","cycle_num",0.0799463036735355,0.104181114479647,0.116329419391703,0.116546562217959,0.128623629967207,0.153974802703116,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"87","Lambda","clr_Clausocalanidae","cycle_num",0.00408771817180531,0.0355107853857319,0.0519961965808498,0.0517015102824505,0.0676417276695897,0.0998701452511161,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"88","Lambda","clr_Eucalanidae","cycle_num",-0.190575137246336,-0.140321221397259,-0.115028915551351,-0.115755654872779,-0.0909543581553695,-0.0434071343037702,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"89","Lambda","clr_Euphausiidae","cycle_num",0.0248732004676127,0.0508613492720696,0.0636861851143959,0.0635509106612163,0.0760363614865162,0.101485895048446,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"90","Lambda","clr_Metridinidae","cycle_num",0.0840014660993218,0.112644304246968,0.126321844619341,0.126340023380771,0.140524433611972,0.168576097119186,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"91","Lambda","clr_Paracalanidae","cycle_num",-0.0309416044813575,0.000362845902010675,0.0155066863282394,0.0157587023058573,0.0310112312288421,0.0634100261453671,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"92","Lambda","clr_Rhincalanidae","cycle_num",-0.0588504671056099,-0.00866112711487883,0.0162702104050819,0.0162411707936898,0.0417334222492048,0.091426431969753,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"93","Lambda","clr_Salpidae","cycle_num",-0.237014848766076,-0.184915455672449,-0.158634837429865,-0.158637711506562,-0.131898751610884,-0.0831211178443159,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"94","Lambda","clr_other","cycle_num",-0.193192892580097,-0.1407113693719,-0.115649268738455,-0.115745513262604,-0.0902032886928701,-0.0414765929868529,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"95","Lambda","clr_Calanidae","cycle_num",0.125341632505043,0.157440476054874,0.173576465391207,0.173719825867005,0.189816399806851,0.222663425776712,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"96","Lambda","clr_Clausocalanidae","cycle_num",-0.0412977581226355,-0.00145254915346214,0.0175859356899801,0.0180191026922071,0.0377777477365586,0.0780382294918918,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"97","Lambda","clr_Eucalanidae","cycle_num",-0.135796117345743,-0.0979164208830839,-0.0806989780956061,-0.0805296044369414,-0.0627949547316131,-0.0269432153628263,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"98","Lambda","clr_Euphausiidae","cycle_num",-0.0089295207184007,0.045620801511366,0.0735786809460074,0.073356490583835,0.100537946434438,0.155185928811741,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"99","Lambda","clr_Metridinidae","cycle_num",0.0666646678659524,0.0987430472410464,0.115162741816054,0.114855713321784,0.130758831064894,0.161977240929748,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"100","Lambda","clr_Paracalanidae","cycle_num",-0.147636926010287,-0.103620243803425,-0.0815959038626452,-0.0822586920029993,-0.0606139436470555,-0.0188311575439749,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"101","Lambda","clr_Rhincalanidae","cycle_num",-0.0354169896375141,0.0136921867212074,0.0381418343882085,0.0379006101921111,0.0626039359140825,0.109752361838067,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"102","Lambda","clr_Salpidae","cycle_num",-0.266335831432402,-0.186253245553601,-0.148713909323869,-0.149096109596048,-0.111037271011318,-0.0372996667390971,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"103","Lambda","clr_other","cycle_num",-0.188892454999946,-0.13228537561385,-0.105295476967919,-0.105967336620953,-0.0789444567906019,-0.0257612337027423,"C5_C7_S2_18S","C5","S2","18S",0.5,4
